Column1,Column2,Column3,Column4
authentication.reset-password.text.error.invalid-token,Le lien est probablement expiré. AAA updates,Your link is probably expired. AAA Updates,
tenant.field.bankCheckDigit,Numéro d'institution financière,Bank Code,
core.collection.error.add_discount,Le montant de la promotion est trop important.,The promotion amount is too large,
core.action.update.payment,Modifier le mode de paiement,Edit payment method,
invoice.plan.upgrade,Passer à un plan supérieur,Upgrade,
quote.title,Devis,Quote,
quote.details.title,Résumé du devis,Quote Summary,
navbar.section.quote.item.add.title,Nouveau devis,New Quote,
authentication.mobile.local.device,Appareil,Device,
core.bank.financial.institution.name,Nom de l'institution financière,Financial institution name,
document.action.view,Voir le document,See document,
bankAccount.statement.balance,Solde du relevé,Statement balance,
ppa.status.retried,Essayer à nouveau,Reprocessed,
ppa.button.action.status.to_refund,Remboursement,Refund,
invoice.label.export.type,Sélectionnez votre(vos) type(s) d'exportation *,Select your type(s) of export *,
bankAccount.no.parkinglots,Vous pourrez associer un compte bancaire à des stationnements après avoir créé des stationnements,You will be able to associate bank account with parking lots after creating parking lots,
scheduler.view.dailylist,Vue de la liste quotidienne,Daily list view,
scheduler.view.weeklylist,Vue de la liste hebdomadaire,Weekly list view,
scheduler.allday,Toute la journée,All day,
core.bank.assocaite.parkinglots,Associé aux stationnements,Associate to parking lots,
core.bank.associate.storages,Associé aux entreprosages,Associate to storages,
scheduler.view.day,Vue quotidienne,Day view,
book.transaction.action.download,Télécharger un document,Download Document,
book.transaction.action.upload,Téléverser un document ,Upload Document,
enum.tree.element.type.project.description,"Écrire pour créer des projets, un projet peut contenir une tâche si le module est actif ","Type to create projects, a project could contains task if module is active",
scheduler.view.week,Vue hedomadaire,Week view,
quote.add.scope.tree.node.1.1.title,Acheter pour revendre,Purchase for resale,
navbar.section.timetracking.item.all.title,Suivi du temps,Time Tracking,
scheduler.view.month,Vue mensuelle,Month view,
core.status.update.fail,Échec de la mise à jour ,Update failed,
receivable.extract.title,Extraire le recevable,Extract Receivable,
bankAccount.balance,Équilibre à Wazo,Balance in Wazo,
bankAccount.no.buildings,Vous pourrez associer un compte bancaire au bâtiment après avoir créé le bâtiment,You will be able to associate bank account with building after creating building,
bankAccount.dropdown,menu déroulant,dropdown,
invoice.label.report.type,Sélectionnez votre type de rapport *,Select your type of report *,
core.bank.associate.buildings,Associé aux bâtiments,Associate to buildings,
core.bank.financial.institution.transit.number,Numéro de transit de l'institution financière,Financial institution transit number,
document.error.storage.pro.employee,Vous avez atteint votre limite de stockage autorisée par votre plan Premium. Merci de contacter le propriétaire du compte WAZO pour obtenir du stockage supplémentaire pour télécharger ce document.,The storage limit included in your Premium plan has been reached. Please contact the Account Owner to increase the storage limit to upload this document.,
storage.limit.dialog.owner.pro.content,Vous avez atteint votre limite de stockage autorisée par votre plan Premium. Veuillez passer à un plan supérieur pour obtenir du stockage supplémentaire. ,The storage limit included in your Premium plan has been reached. Please upgrade your subscription for additionnal storage.,
lease.create.error.already.active.status,Vous ne pouvez pas créer de bail pour cet élément de location. Il y a déjà un bail avec le statut actif/à venir/renouvellement en cours/renouvellement,You can not create a lease for this rent item you just selected. There is already a lease with active/to come/renew in pending/renew status.,
manager.delete.message.title,Êtes-vous vraiment sûr de vouloir supprimer ce collaborateur ?,Are you sur you want to delete this collaborator ?,
lease.create.error.range.date.revoked,Vous ne pouvez pas créer de bail pour cette plage horaire. Il y a déjà un bail avec le statut révoqué.,You can not create a lease for this range date. There is already a lease with revoked status.,
plan.benefit.storage.standard.description,"Avec le forfait Standard, vous disposez de 1 GB pour enregistrer vos fichiers. Ces fichiers peuvent être associés à des bâtiments, stationnements, espaces d'entreposage, appartements, locataires ou propriétaires.","With a Standard account, you have up to 1GB of storage room to save your files. These can be associated to building, apartments, parking lots, storage space, tenants or owners. ",
manager.action.add,Inviter un collaborateur ,Invite a collaborator,
manager.action.removed,Le collaborateur a été révoqué.,The collaborator has been revoked.,
authentication.sign-up-email.validate.message.error,Votre adresse email n'a pu être validée. Veuillez contacter un administrateur si le problème persiste.,Your email address could not be validated. Please contact an administrator if the problem persists.,
manager.action.add.title,Invitation d’un collaborateur ,Invitation of a collaborator,
authentication.login.error.email.unvalidated,Votre compte est incomplet. Veuillez vérifier votre adresse e-mail en cliquant sur le lien de confirmation inclus dans le courriel que nous venons d'envoyer !,Your account is incomplete. Please verify your email address by clicking on the confirmation link included in the email we just sent!,
lease.error.already.renew.status,Il y a déjà un bail avec le statut renouvelé,There is already a lease with renewal status.,
lease.error.renew.date.do.not.renew,Il y a déjà un bail dans cette plage horaire avec le statut ne pas renouveler.,There is already a lease in the range date with do not renew status,
manager.title,Collaborateur,Collaborator,
lease.create.error.range.date.to.come,Vous ne pouvez pas créer de bail pour cette date horaire. Il y a déjà un bail avec le statut à venir.,You can not create a lease for this range date. There is already a lease with to come status.,
lease.create.error.range.date.renew.in.pending,Vous ne pouvez pas créer de bail pour cette plage horaire. Il y a déjà un bail avec le statut renouvellement en attente.,You can not create a lease for this range date. There is already a lease with renew in pending status.,
lease.create.error.range.date.renew,Vous ne pouvez pas créer de bail pour cette plage horaire. Il y a déjà un bail avec le statut à renevouler.,You can not create a lease for this range date. There is already a lease with renew status.,
manager.invitation.error.already_invited,Ce contact a déjà été invité en tant que collaborateur. ,This contact has already been invited as a collaborator. ,
lease.create.error.range.date.active,Vous ne pouvez pas créer de bail pour cette plage horaire. Il y a déjà un bail avec le statut actif.,You can not create a lease for this range date. There is already a lease with active status.,
gl_account.btn.upgrade.plan,Changer de plan pour exporter des données.,Upgrade plan to export data,
lease.create.error.range.date.do.not.renew,Vous ne pouvez pas créer de bail pour cette plage horaire. Il y a déjà un bail avec le statut ne pas renouveler.,You can not create a lease for this range date. There is already a lease with do not renew status.,
 ,Il y a déjà un bail dans cette plage horaire avec le statut renouvellement en attente.,There is already a lease in the range date with renew in pending status,
manager.pending.title,Invitation(s) de collaborateur(s) en attente ,Pending collaborator(s) invitation(s),
manager.action.edited,L'information concernant un collaborateur a été modifiée.,The information concerning a collaborator has been modified.,
lease.label.view.all.details,Voir tous les détails,View all details,
book.transaction.type.rent_parking,Loyer de stationnement ,Rent Parking,
accounting.paymentType.paid_by_roommate,Payé par un colocataire,Paid by roommate,
invoiceTask.reject.reason.invoice.already.received,Facture déjà reçue,Invoice already received,
quote.add.project.new.code,Numéro/code de projet,Project number/code,
navbar.section.user.item.search.title,Rechercher l'utilisateur,Search User,
gl_account.nature.credit,Crédit,Credit,
core.error.forbidden.message,"Le serveur a compris la requête, mais refuse de l'exécuter. L'authentification a été acceptée mais les droits d'accès ne permettent pas au client d'accéder à la ressource. N'hésitez pas à nous contacter. ","The server understood the request, but refuses to execute it. Authentication has been accepted, but the access rights do not allow the client to access the resource. Do not hesitate to contact us.",
ppa.title.plural,Prélèvements préautorisés (PPA),Pre-authorized payment (PPA),
scheduler.filter.project,Projet,Project,
authentication.reset-password.create.text,Créer un nouveau mot de passe,Create a new password,
lease.field.unit.electricity,Électricité,Electricity,
core.bank.financial.institution.account.number,Numéro de compte de l'institution financière,Financial institution account number,
invoice.plan.dialog.title,Créer une nouvelle règle d'approbation,Create a new approval rule,
lease.field.perceptionAmount,Montant,Amount,
bankAccount.glAccount,Compte GL,GL account,
email.change.password.title,Modifier votre mot de passe,Change your password,
building.label.no.building,Aucun bâtiment,No building,
book.transaction.empty,Aucune transaction déja effectuée,No transaction already done,
scheduler.week.add,Ajouter,Add,
lease.error.renew.date.renew,Il y a déjà un bail dans cette plage horaire avec le statut renouveler.,There is already a lease in the range date with a renewiew status.,
invoice.information.additional,Informations additionelles,Additional information,
invoice.select.landlord.all,Inclure tous les propriétaires,Include all owners,
payment.plan.details.title,Détails du plan,Plan Details,
lease.status.active_list,Actif,Active,
authentication.login.error.email.required,Un courriel est requis,An email is required,
accounting.action.retry.payment,Relancer le débit préautorisé (PAD),Reprocess the pre-authorized debit (PAD),
core.sequenceCode,Code d'identifiant,Code identifiant,
payment.plan.form.btn.back.to.form,Retourner au formulaire,Return to form,
authentication.social-sign-up.text.or-sign-up-with,Où s'inscrire avec,Where to register with,
authentication.reset-password.input.confirm-new-password,Confirmer le nouveau mot de passe,Confirm new password,
quote.add.project.autocmp.plcholder,Projet existant,Existing projects,
navbar.section.user.item.all.title,Afficher tout,Show All,
invoice.planed.payment,Paiement pour,Payment for,
user.field.validated.label,Statut,Status,
ppa.title,Paiement préautorisé (PPA),Pre-authorized payment (PPA),
taskRule.field.glCode.exclude,Exclure un compte GL,Exclude GL Account,
core.label.no.note,Aucune note,No Note,
category.title,Catégorie,Category,
document.information,Informations sur le document,Document information,
scheduler.filterBy,Filtrer par,Filter by,
lease.error.renew.date.active,Il y a déjà un bail dans cette plage horaire avec le statut actif.,There is already lease in the range date with active status,
enum.tree.element.type.project.name,Projet,Project,
ppa.action.retry.payment,Relancer le paiement préautorisé (PPA),Reprocess the pre-authorized payment (PPA),
quote.add.save,Sauvegarder,Save,
quote.add.project.new.desc,Entrer une courte description du projet,Enter a short description of the project,
user.accept.admin.message.success,Votre compte est validé! Créez votre mot de passe pour accéder à votre compte.,Your account is valid! Create your password to access it.,
ppa.action.approve.message.title,Voulez-vous vraiment approuver ce paiement préautorisé (PPA) ? ,Do you want to approve this pre-authorized payment (PPA)?,
enum.tree.element.type.folder.name,Dossier,Folder,
quote.add.project.new,Nouveau Projet,New Project,
authentication.sign-up-email.error.email.required,Un courriel est requis,Email is required,
user.field.language.label,Langage,Language,
core.error.not_found.message,"Une erreur s'est produite et votre demande n'a pas pu être traitée. Vérifiez l'URL, ou n'hésitez pas à nous contacter.","An error has occurred and your request could not be processed. Check the URL, or feel free to contact us.",
user.profile.action.plan.upgrade,Changer votre plan,Change your plan,
user.role.field.role_manager_admin.details,"Le collaborateur immobilier est un rôle permettant de tout gérer votre parc immobilier, il n'est cependant pas autorisé à supprimer des informations ou à créer des écritures comptable manuellement.","The real estate collaborator is a role that allows you to have full access to your investment portfolio. However, they are limited in their actions. They cannot delete information or create manually an accounting procedure.",
scheduler.filter.equipment,Équipement,Equipment,
invoiceTask.error.supplier.missingName,Aucun fournisseur,No supplier,
unit.title.size_type.demi_8,8 et demi,8 1/2,
unit.title.size_type.demi_7,7 et demi,7 1/2,
unit.title.size_type.demi_6,6 et demi,6 1/2,
unit.title.size_type.demi_5,5 et demi,5 1/2,
unit.title.size_type.demi_4,4 et demi,4 1/2,
authentication.login.error.internal,Une erreur est survenue lors de la connexion. Veuillez réessayer ultérieurement.,An error occurred during connection. Please retry later.,
unit.title.size_type.demi_3,3 et demi,3 1/2,
unit.title.size_type.demi_2,2 et demi,2 1/2,
payment.plan.form.error.coupon_code,Le coupon n'est pas valide,The coupon is not valid,
invoice.delete.message.description,Cette facture sera supprimée définitivement ainsi que toutes les transactions comptables associées.,This invoice will be permanently deleted as well as all associated accounting transactions.,
gl_account.name.title,Catégorie de compte GL,GL Account Name,
core.date.format,AAAA-MM-JJ,YYYY-MM-DD,
book.transaction.type.rent_storage,Loyer d'entreposage ,Rent Storage,
gl_account.btn.export.data,Exporter des données,Export data,
invoice.status.plural,Statut de facture,Invoice Status,
scheduler.detail.nodescription,Sans description,No description,
authentication.sign-up-email.validate.message.success,Votre adresse courriel a bien été validée. Vous pouvez commencer à utiliser Wazo.,Your email address has been validated. You can start using Wazo.,
core.search,Recherche ...,Search...,
user.users.list.field.lang,Langage,Language,
scheduler.detail.nonotes,Aucune note,No notes,
accounting.paymentType.credit_card,Carte de crédit,Credit card,
gl_account.nature.debit,Débit,Debit,
scheduler.detail.delete.no,Non,No,
lease.label.waitingSign,Attente de signature,Waiting for signature,
user.profile.billing.card.title,Carte de crédit,Credit Card,
gl_account.name.title.plural,Noms des comptes GL,GL Account Names,
user.profile.storage.document.accounting.title,Documents comptables,Accounting documents,
extract.validation,Veuillez d'abord filtrer les détails.,Please filter details first.,
scheduler.allday.button,Afficher tous les jours planifiés,Show all day schedules,
receivable.discount.type.ppa,Paiement préautorisé (PPA),Pre-authorized payment (PPA),
ppa.action.select.date.message,Sélectionner une date pour voir les paiements préautorisés associés (PPA),Select a date to see the associated pre-authorized payment (PPA),
authentication.reset-password-success.title,Mot de passe réinitialisé avec succès !,Password successfully reset!,
validation.error.message,Validation n'a pas réussi. {0} error(s),Validation failed. {0} error(s),
receivable.label.export.type,Selectionnez votre(vos) type(s) d'exportation *,Select your type(s) of export *,
quote.add.project.new.name,Nom du projet,Project name,
authentication.reset-password.input.enter-new-password,Entrer un nouveau mot de passe,Enter new password,
authentication.reset-password-success.text.main-paragraph,Votre mot de passe à été réinitialisé. Vous allez être redirigé vers la page de connexion automatiquement. Si vous n'êtes pas automatiquement redirigé après un délais utilisez le bouton ci-dessous.,Your password has now been reset. You will be redirected to the login page automatically. If you are not redirected after the delay use the button bellow.,
user.profile.billing.card.information.title,Information de carte de crédit,Credit Card information,
accounting.paymentType.e_transfer,E-Transfer,E-Transfer,
bankAccount.no.bankAccount.plural,Aucune information bancaire,No bank information,
ppa.validate.message.description,Vous êtes sur le point d'approuver le(s) prépaiement(s) sélectionné(s) (PPA).,You are about to approve the selected pre-authorized payment(s) (PPA).,
building.field.revenues,Revenus de la propriété,Revenue of the property,
quote.add.project.select,Sélectionner un project,Select a project,
ppa.validate.message.title,Êtes-vous vraiment sûr(e) de vouloir approuver ce(s) paiement(s) préautorisé(s) (PPA) ?,Do you want to approve the pre-authorized payment(s) (PPA) ?,
user.detail.mainPanel.section.1.title,Informations du compte,Account information,
bankAccount.transit.number.error.message,Le numéro de transit bancaire doit contenir 5 chiffres seulement.,The bank transit number must have 5 digits.,
authentication.sign-up-email.error.email.format,Veuillez fournir une adresse courriel valide,Please provide a valid email address,
plan.ref.col.storage,Espace d'entreposage,Storage space,
supplier.action.edit,Modifier un fournisseur,Edit a supplier,
scheduler.detail,Détail,Detail,
authentication.forgot-password.text.main-paragraph,Veuillez entrer votre nom d'utilisateur ou adresse courriel. Vous receverez un lien dans votre boite de réception pour réinitialiser votre mot de passe.,Enter your username or email address. You will receive a link in your mailbox to reset your password,
lease.field.perceptionAmount.total.not.equal.error,Le montant indiqué n'est pas égal au montant du loyer,The amount indicated is not equal to the amount of the rent,
quote.add.scope.expansion.2.title,Produits,Products,
quote.add.cancel,Annuler,Cancel,
accounting.paymentType.ppa,Paiement Préautorisé (PPA),Pre-authorized payment (PPA),
receivable.discount.type.pad,Débit Préautorisé (DPA),Pre-authorized debit (PAD),
scheduler.detail.delete.dialog,Ëtes-vous sûr(e) de vouloir supprimer cette horaire?,Are you sure you want to delete this schedule?,
ppa.status.error_to_define.description,"Erreur inconnue, merci d'enquêter avec votre banque afin de résoudre le problème.","Unknown error, please contact your bank to resolve the issue.",
quote.all.new,Nouveau,New,
ppa.message.retry.payment,Le paiement préautorisé (PPA) sera relancé.,The pre-authorized payment (PPA) will be reprocessed.,
scheduler.filter.activity,Activité,Activity,
core.amount.discount,Promotion,Discount,
enum.tree.element.type.task.name,Tâche,Task,
quote.add.scope.tree.node.3.title,Forfaits,Packages,
lease.error.already.lease.same.date,Il y a déjà un bail à la même plage horaire.,There is already lease in the same range date.,
scheduler.detail.results,Résultats,results,
ppa.grid.action.validate_all,Valider les paiements préautorisés sélectionnés (PPA),Validate the selected pre-authorized payment (PPA),
receivable.discount.type.e_transfer,E-Transfert,E-Transfer,
lease.error.renew.date.to.come,Il y a déjà un bail dans cette plage horaire avec le statut à venir.,There is already lease in the range date with to come status,
lease.error.renew.in.pending.active,Le bail n'a pas le statut actif.,The lease does not have active status,
quote.add.scope.tree.node.1.title,Produits,Products,
quote.add.client.new,Créer un nouveau client,Create a new client,
book.transaction.type.rent_unit,Loyer d'appartement,Rent Apartment,
user.profile.picture,Photo de profil,Profile picture,
bankAccount,Compte bancaire,Bank account,
lease.rent.allocate,Loyer alloué  ,Rent allocate,
lease.status.of.lease,Statut du bail,Status of the lease,
parking.type,Type de stationnement,Type of parking,
scheduler.detail.delete.yes,Oui,Yes,
ppa.grid.empty,Aucun paiement préautorisé (PPA) disponible.,No pre-authorized payment (PPA) available,
parking.delete.message.description,Ce stationnement sera supprimé définitivement.,This parking will be permanently deleted.,
user.userProfile.admin_wazo,Administrateurs,Administrators,
accounting.error.add.invalid_amount_entry,Vous ne pouvez pas ajouter un montant au débit et au crédit dans la même écriture comptable,You can't add a debit and credit amount in the same book entry,
accounting.title.grid.entries,Entrées Comptables   ,Book Entries,
accounting.paymentType.pad,Débit Préautorisé (PAD),Pre-authorized debit (PAD),
landlord.action.edit.contact,Modifier un contact,Edit a contact,
unit.addBuilding,Ajouter un bâtiment,Add a building,
lease.label.waitingValidation,En attente de validation,Waiting for validation,
landlord.taskRules.error.dialog.content,Veuillez mettre à jour votre forfait.,Please upgrade your plan.,
authentication.login.error.username.required,Nom d'utilisateur requis,Username required,
user.field.email.label,Adresse courriel,Email address,
plan.description.realestate.manage,Gestion d’entreposage et de stationnements,Manage storage units and parking lot,
scheduler.detail.delete,Supprimer,Delete,
quote.add.project.create,Créer un nouveau projet,Create new project,
ppa.action.search.date.title,Rechercher une date de transaction pour les paiements préautorisés (PPA),Find a transaction date for pre-authorized payment (PPA),
quote.add.tabs.3.title,Prix,Pricing,
quote.add.scope.expansion.4.title,Forfaits,Packages,
tax.title,Taxe,Tax,
navbar.section.user.title,Utilisateurs ,Users,
plan.payment.title,Paiement,Payment,
core.location.province,Province,State,
plan.description.realestate.documentary.description,Wazo vous donne accès à une voute documentaire. Vous pouvez y importer vos fichiers importants afin d'y accéder rapidement lorsque nécessaire.,Wazo gives you access to a documentary vault. You can import all your important files for quick access when needeed,
tenant.delete.message.title,Êtes-vous vraiment sûr de vouloir supprimer ce locataire ?,Are you sur you want to delete this tenant?,
invoice.warning.message.create,La balance doit être à 0 pour poursuivre la création de la facture,Your balance must be 0 to create an invoice,
core.location.message.address_not_match,"L’adresse réelle peut parfois différer de celle trouvée, notamment pour de nouvelles constructions","The real address can sometimes be different from what found, especially for new constructions",
invoice.action.delete.imputation.description,Êtes-vous vraiment sûr de vouloir supprimer cette imputation ?,Are you sur you want to delete this charge?,
plan.benefit.storage.base.description,"Avec le forfait Freemium, vous disposez de 500 MB pour enregistrer vos fichiers. Ces fichiers peuvent être associés à des bâtiments, stationnements, espaces d'entreposage, appartements, locataires ou propriétaires.","With a Freemium account, you have up to 500MB of storage room to save your files. These can be associated to buildings, apartments, parking lots, storage spaces, tenants or owners.",
plan.benefit.storage.professional.description,"Avec le forfait Premium, vous disposez de 10 GB pour enregistrer vos fichiers. Ces fichiers peuvent être associés à des bâtiments, stationnements, espaces d'entreposage, appartements, locataires ou propriétaires.","With the Premium plan, you have up to 10GB of storage room to save your files. These files can be associated to building, parking lots, tenants, storages, owners or apartments.",
authentication.login.error.incorrect.fields, Votre identifiant et/ou votre mot de passe sont incorrects.,Your username and/or password are incorrect.,
parking.select.error.empty,Il n'existe actuellement aucun stationnement pour ce bâtiment. ,There is currently no parking associated with this building.,
plan.description.realestate.multilandlord.description,Wazo vous permet d'ajouter un nombre illimité de propriétaires. Ceux-ci doivent être ajoutés sur la version ordinateur de Wazo.,Wazo allows you to add an unlimited number of owners. These must be added on the desktop version of Wazo.,
landlord.select.building.error.empty,Il n'existe actuellement aucun bâtiment pour ce propriétaire.,There is currently no building for this owner.,
plan.description.mobile.documents,Accès à la voûte documentaire,Access to your documentary vault,
receivable.action.show.unpaid,Voir les recevables non payés,See unpaid receivables,
receivable.action.add.error.landlord.bankAccounts.empty,Aucune information bancaire trouvée pour ce propriétaire,No banking information found for this owner,
taskRule.task.type.waiting_for_ocr,En attente de traitement ,Waiting for Smart Data,
manager.invitation.delete.message.title,Êtes-vous vraiment sûr de vouloir supprimer cette invitation ?,Do you really want to delete this invitation?,
landlord.delete.message.title,Êtes-vous vraiment sûr de vouloir supprimer ce propriétaire ?,Do you really want to delete this owner?,
bankAccount.no.bankAccount.message,Aucune information financière disponible. Vous pouvez utiliser le formulaire de modification du fournisseur pour en ajouter.,No financial information available. You can use the supplier modification form to add more.,
document.error.storage.base.owner,"Vous avez atteint votre limite de ""500 MB"" autorisée par votre plan ""BASE"". Veuillez passer au plan supérieur pour continuer à téléverser des documents.",The storage limit of “500 MB” included in the “BASE” plan has been reached. Please upgrade your subscription plan in order to upload this document.,
invoice.select.landlord.specific,Propriétaire spécifique,Specific owner,
plan.description.users.approval.description,"Les forfaits Standard et Premium vous permettent d'appliquer des règles d'approbation à vos collaborateurs. Par exemple, vous gardez le contrôle sur l'approbation des factures ajoutées à votre compte.","The Standard and Premium packages allow you to put approval rules, you can issue approval rules on your collaborators.",
plan.description.realestate.multilandlord,Création de multi-propriétaire,Multi-owner creation,
lease.frequency.error.monthly,Le bail doit avoir 56 jours au minimum,The lease must be at least 56 days old,
core.amount.total.before.discount,Montant total avant promotion,Total amount before promotion,
receivable.action.show.paid,Voir les recevables collectés,See paid receivables,
unit.field.subventionAmount,Montant des subventions,Subsidies,
plan.benefit.users.standard.description,"Avec le forfait Standard vous pouvez inviter jusqu'à 3 personnes à collaborer et à accéder à votre compte. Vous pouvez inviter un gestionnaire, votre comptable ou même votre concierge. ","With the Standard package, you can have up to 3 users on the account. You can invite another owner, concierge or anyone else.",
navbar.section.quote.item.all.title,Tous les devis,All Quotes,
document.error.storage.base.employee,"Vous avez atteint votre limite de ""500 MB"" autorisée par votre plan ""Freemium"". Veuillez passer à un plan supérieur de WAZO afin de pouvoir téléverser ce document. ",The storage limit of “500 MB” included in the “Freemium” plan has been reached. Please upgrade your suscription  in order to upload this document.,
landlord.action.ppa,Les paiements préautorisés (PPA),Pre-authorized payment (PPA),
lease.action.add.title.unit,Ajout d'un bail pour l'unité,Add a lease for this unit,
authentication.mobile.local.look-app-with,Verrouiller l'application avec,Lock app with,
invoice.status.ocr.completed_ocr,Données validées,Data reviewed,
storage.select.error.link,Vous devez ajouter un entreposage. ,You must add a storage,
storage.field.surface,Surface (pieds carrés),Surface (sq. ft.),
lease.action.revoke.dialog.message,Vous ne souhaitez pas renouveler le bail ,You do not wish to renew the lease,
manager.action.edit.title,Modification d’un collaborateur,Edit a collaborator,
user.profile.manager.active.title,Collaborateurs actifs,Active collaborators,
unit.field.surface,Surface (pieds carrés),Surface (sq. ft.),
lease.action.add.title.storage,Ajout d'un bail pour l'entreposage,Add a storage to the lease,
navbar.section.scheduler.title,Planificateur(trice),Scheduler,
invoice.label.select.landlord,Sélectionnez le(s) propriétaire(s) à inclure *,Select owner(s) to include *,
net.rent.amount,Montant du loyer net,Net rent amount,
authentication.sign-up-email.label.by-signing-i-accept,"En signant, j'accepte que companyName","By signing, I accept that companyName",
bankAccount.no.storages,Vous pourrez associer un compte bancaire à des entreposages après avoir créé des entreposages,You will be able to associate bank account with storages after creating storages,
manager.delete.message.description,Le collaborateur suivant va être supprimé :,The following collaborator will be deleted : ,
enum.tree.element.type.task.description,Écrire pour créer des tâches,Type to create tasks,
user.owner_manager.profile.error.payment_default.no_label,Continuer comme collaborateur,Continue as collaborator,
authentication.sign-up-email.label.subscribe-to-communication-emails,S'inscrire aux courriels de communication de companyName.,Sign up for companyName communication emails.,
lease.action.add.title.parking,Ajout d'un bail pour le stationnement,Add a parking to the lease,
landlord.select.error.link,Vous devez ajouter un propriétaire.,You must add an owner.,you must already have add an owner ?
supplier.select.error.link,Vous devez ajouter un fournisseur.,You must add a supplier.,
building.field.buildingValuation,Estimation de la valeur du bâtiment,Estimate of the value of the building,
landlord.field.neq,Numéro d'entreprise (NEQ),Company Number (NEQ),
unit.field.furnitureType,Meublé,Furnished,
building.delete.message,Voulez-vous vraiment supprimer ce bâtiment ?,Do you want to delete this building?,
plan.ref.col.user,Collaborateur,Collaborator,
document.error.storage.standard.employee,"Vous avez atteint votre limite de ""1 GB"" autorisée par votre plan ""STANDARD"". Veuillez contacter le propriétaire du compte pour qu’il passe au plan supérieur de WAZO afin de pouvoir téléverser ce document. ",The storage limit of “1 GB” included in your “STANDARD” plan has been reached. Please contact the Account Owner to upgraded the subscription in order to upload this document.,
plan.benefit.rules.professional.description,Les forfaits Standards et Premium vous permettent d'appliquer des règles d'approbation lorsque des collaborateurs ont accès à votre compte Wazo. Ceci vous permet de garder le contrôle sur votre parc immobilier.,"The Standard and Premium packages allow you to put in place approval rules. Therefore, as the owner, you have full control of the decision making.",
taskRule.task.type.processing_by_ocr,En cours de traitement par Smart Data,Processing by Smart Data,
document.error.storage.pro.owner,Vous avez atteint votre limite de stockage autorisée par votre plan Premium. Merci de contacter WAZO pour obtenir du stockage supplémentaire. ,The storage limit included in your Premium plan has been reached. Please contact WAZO to increase your storage limit.,
lease.action.renew.field.endDate,Nouvelle date de fin de bail,New end date of the lease,
document.delete.message.title,Êtes-vous vraiment sûr(e) de vouloir supprimer ce document ?,Are you sur you want to delete this document?,
plan.description.accounting.payable.description,L'application vous permet d'avoir une vue d'ensemble de vos comptes à recevoir. Restez à jour sur vos loyers à recevoir afin de faire les suivis adéquats.,The application allows you to have an overview of accounts receivable. You will be able to follow up on all your tenants.,
invoice.plan.dialog.content,Règle d'approbation afin de faire approuver le montant de la facture par le propriétaire,Approval rule in order to have the invoice amount qualified by the owner,
user.profile.storage.usage.title,Espace de stockage consommé,Storage space consumed,
plan.description.accounting.payable,Gestion des recevables et payables,Receivables and payables management,
bankAccount.delete.message.title,Êtes-vous vraiment sûr de vouloir supprimer cette information bancaire ?,Do you really want to delete this banking information?,
landlord.delete.message,Voulez-vous vraiment supprimer ce propriétaire ?,Do you really want to delete this owner ?,